"","1"
"V892",0
"V893",0
"V894",0
"V895",0
"V896",0
"V897",0
"V898",0
"V899",-0.000375431484836601
"V900",0
"V901",0
"V902",0
"V903",0
"V904",-5.56279590461864e-05
"V905",0
"V906",-0.000297567354242044
"V907",0
"V908",0
"V909",0
"V910",0.000863533404304551
"V911",-0.000214392029083765
"V912",0
"V913",0
"V914",0
"V915",0
"V916",0
"V917",0
"V918",0
"V919",-0.000660452609134345
"V920",-0.00290386989696229
"V921",0
"V922",0
"V923",0
"V924",0
"V925",0
"V926",0
"V927",0.000202040793903911
"V928",0
"V929",0
"V930",0
"V931",0
"V932",0
"V933",0
"V934",0
"V935",0.000248997767504447
"V936",0
"V937",-0.0017854860077688
"V938",-0.000305206442257189
"V939",0
"V940",0
"V941",0.00244603892006835
"V942",-0.000442890230348054
"V943",0
"V944",-0.00137453941006369
"V945",0
"V946",0
"V947",0
"V948",0
"V949",0
"V950",0
"V951",0
"V952",0
"V953",0
"V954",0
"V955",0
"V956",-0.00103345646356604
"V957",0.000159949929579748
"V958",0
"V959",0
"V960",0
"V961",0
"V962",0
"V963",0
"V964",0
"V965",0
"V966",0
"V967",0
"V968",0
"V969",0
"V970",0.000204529226925213
"V971",0
"V972",-0.0033247209839973
"V973",0
"V974",0
"V975",0.000390767543275134
"V976",0
"V977",-0.00123280909977345
"V978",-0.000244137060153466
"V979",0
"V980",0
"V981",-6.55351634621327e-05
"V982",0
"V983",0
"V984",0
"V985",0
"V986",-0.00111991656442379
"V987",0
"V988",0
"V989",0
"V990",-0.000818325261858901
"V991",0
"V992",-0.000290397067479266
"V993",-0.000493220259566876
"V994",0
"V995",0
"V996",0
"V997",0
"V998",0
"V999",0
"V1000",0
"V1001",0
"V1002",0
"V1003",0.00139825683625373
"V1004",0
"V1005",0
"V1006",0
"V1007",0
"V1008",-0.000863857043062974
"V1009",0
"V1010",0
"V1011",0
"V1012",0.00143466686470591
"V1013",-3.37220324071966e-05
"V1014",-0.000294829416507031
"V1015",0
"V1016",0
"V1017",-0.000394187428236476
"V1018",0
"V1019",-0.00353992496190611
"V1020",0.00144254663419762
"V1021",0
"V1022",-0.00036053620491097
"V1023",-0.000517191189686267
"V1024",0
"V1025",0
"V1026",0.000260274132999061
"V1027",0.00109653900380495
"V1028",0
"V1029",0
"V1030",0
"V1031",-0.000702411069854007
"V1032",0
"V1033",0
"V1034",-0.000897940690304748
"V1035",-0.00104451525133296
"V1036",0
"V1037",0
"V1038",0
"V1039",-0.00092504971430849
"V1040",0.000502902462016703
"V1041",0
"V1042",0
"V1043",-0.00127518275253117
"V1044",0
"V1045",0
"V1046",0
"V1047",0
"V1048",0
"V1049",0
"V1050",0
"V1051",0
"V1052",0
"V1053",0
"V1054",0
"V1055",0
"V1056",0
"V1057",0
"V1058",0
"V1059",0
"V1060",-0.000777912443705987
"V1061",0
"V1062",-0.00157335784667949
"V1063",0
"V1064",-0.00050078379851143
"V1065",0
"V1066",-0.000801502514509465
"V1067",0
"V1068",0
"V1069",0
"V1070",0
"V1071",0
"V1072",0
"V1073",0
"V1074",0
"V1075",0
"V1076",0
"V1077",0
"V1078",0
"V1079",0
"V1080",-6.53702818410334e-05
"V1081",0
"V1082",0
"V1083",0
"V1084",0
"V1085",0
"V1086",-0.00158429285927096
"V1087",-0.00142350832158209
"V1088",0.00119675659547634
"V1089",-0.000823661095831307
"V1090",0.00113355565390711
"V1091",0
"V1092",-0.00164610158685904
"V1093",0
"V1094",0
"V1095",0.000598134134611799
"V1096",0
"V1097",0
"V1098",0
"V1099",0
"V1100",0
"V1101",0
"V1102",0.00187104483768098
"V1103",0
"V1104",0
"V1105",0
"V1106",0.000696632831729419
"V1107",0
"V1108",0
"V1109",0
"V1110",0
"V1111",0
"V1112",0
"V1113",0
"V1114",0
"V1115",0
"V1116",0
"V1117",0
"V1118",0
"V1119",0
"V1120",0
"V1121",0
"V1122",0
"V1123",0
"V1124",0
"V1125",0
"V1126",0
"V1127",0
"V1128",-0.000531628328739534
"V1129",0
"V1130",0
"V1131",0.000897051150325119
"V1132",0
"V1133",0
"V1134",0
"V1135",0
"V1136",0
"V1137",-5.91419751922898e-05
"V1138",0
"V1139",0
"V1140",0.000378630326399202
"V1141",0
"V1142",0
"V1143",0.0010731176215185
"V1144",0
"V1145",-0.000446172928256551
"V1146",0
"V1147",-0.00138879584875183
"V1148",0
"V1149",0.000248463384219593
"V1150",0
"V1151",0
"V1152",0
"V1153",0
"V1154",0.00164880421385847
"V1155",0
"V1156",0
"V1157",0
"V1158",0
"V1159",0
"V1160",0
"V1161",0
"V1162",0
"V1163",0
"V1164",0
"V1165",0
"V1166",0
"V1167",0
"V1168",0
"V1169",-0.000700838019320969
"V1170",0
"V1171",0
"V1172",0
"V1173",0
"V1174",0
"V1175",0
"V1176",0
"V1177",0
"V1178",0
"V1179",0
"V1180",0
"V1181",0
"V1182",0.00021207490178618
"V1183",0
"V1184",0.00118280251000259
"V1185",0
"V1186",0.000335377269608761
"V1187",0
"V1188",0
"V1189",0
"V1190",0
"V1191",-0.00128971528411383
"V1192",-0.000733343900473435
"V1193",0
"V1194",0
"V1195",0
"V1196",0
"V1197",0
"V1198",0
"V1199",0
"V1200",0.00106567971603294
"V1201",0
"V1202",-0.0017746457533969
"V1203",0
"V1204",0
"V1205",0
"V1206",0
"V1207",0
"V1208",-0.00137222337372757
"V1209",-0.000194103896451239
"V1210",0
"V1211",0
"V1212",0
"V1213",0
"V1214",0
"V1215",0
"V1216",0
"V1217",0
"V1218",-0.000244864637843729
"V1219",0
"V1220",0
"V1221",0
"V1222",0
"V1223",0
"V1224",0
"V1225",0
"V1226",0
"V1227",0
"V1228",-0.0010800378032386
"V1229",0
"V1230",0
"V1231",0
"V1232",0
"V1233",0
"V1234",0
"V1235",0
"V1236",0
"V1237",0
"V1238",0.000723004556849944
"V1239",0
"V1240",0
"V1241",0
"V1242",0
"V1243",-6.53703754891484e-05
"V1244",0
"V1245",0
"V1246",0.000474275507049948
"V1247",0
"V1248",0.001094896141592
"V1249",-0.000838156834265853
"V1250",0
"V1251",0.000296666069961341
"V1252",0.00199399424895956
"V1253",0
"V1254",0
"V1255",-0.000698004744771534
"V1256",0.000708806006618358
"V1257",0
"V1258",0
"V1259",-0.00196620626075594
"V1260",0
"V1261",0
"V1262",0.000157631446097708
"V1263",0
"V1264",0
"V1265",-0.0036716049970561
"V1266",-0.000133449576754706
"V1267",0
"V1268",0.000299940208030773
"V1269",0.000112787636699566
"V1270",0
"V1271",0
"V1272",-0.00144037882321074
"V1273",0.000878130435099879
"V1274",-0.0011110900954275
"V1275",0
"V1276",0
"V1277",0
"V1278",0
"V1279",0
"V1280",0
"V1281",0
"V1282",0
"V1283",0
"V1284",0
"V1285",0
"V1286",0.0008309765260004
"V1287",0
"V1288",0
"V1289",0
"V1290",0
"V1291",0
"V1292",0
"V1293",-0.000289698652792494
"V1294",-0.000722898150345759
"V1295",0
"V1296",0
"V1297",0
"V1298",0
"V1299",0
"V1300",0
"V1301",0
"V1302",0
"V1303",-0.000478215356455676
"V1304",0
"V1305",0.000675947968931326
"V1306",0
"V1307",0
"V1308",0
"V1309",0
"V1310",0
"V1311",0
"V1312",0
"V1313",0
"V1314",0
"V1315",0
"V1316",0
"V1317",0.000590226171851044
"V1318",0
"V1319",0.000558863059322674
"V1320",-0.00140719917221901
"V1321",0
"V1322",0
"V1323",0
"V1324",0.000972495656177621
"V1325",0
"V1326",0
"V1327",0
"V1328",0.000504083128499851
"V1329",0
"V1330",-0.000340432899730699
"V1331",0
"V1332",0
"V1333",-0.000438349524903214
"V1334",0
"V1335",0
"V1336",0
"V1337",0
"V1338",0
"V1339",0
"V1340",0
"V1341",0
"V1342",0
"V1343",0
"V1344",0.000180472381932488
"V1345",0
"V1346",0
"V1347",0
"V1348",-0.000545272640827051
"V1349",0
"V1350",0
"V1351",0
"V1352",0
"V1353",0
"V1354",0
"V1355",0
"V1356",0.00114099205037173
"V1357",0
"V1358",0
"V1359",0
"V1360",0.000680813718909755
"V1361",0
"V1362",0
"V1363",0
"V1364",0
"V1365",0
"V1366",0
"V1367",0
"V1368",0
"V1369",0.000258335457592401
"V1370",0
"V1371",0
"V1372",0
"V1373",0
"V1374",0
"V1375",0
"V1376",0
"V1377",0
"V1378",0
"V1379",0
"V1380",-0.000131127272597019
"V1381",0
"V1382",0
"V1383",0
"V1384",0
"V1385",0
"V1386",0
"V1387",0
"V1388",0
"V1389",0
"V1390",-0.000646923439663246
"V1391",0
"V1392",0
"V1393",0
"V1394",0
"V1395",0
"V1396",0
"V1397",0
"V1398",0
"V1399",-0.000490452532523029
"V1400",0
"V1401",0
"V1402",0
"V1403",-0.00111893730594627
"V1404",-0.000551660190660581
"V1405",0
"V1406",0
"V1407",0
"V1408",0
"V1409",-0.00246802681491895
"V1410",0
"V1411",0
"V1412",0
"V1413",-0.000449549278978235
"V1414",0
"V1415",0
"V1416",-0.000235777617531953
"V1417",0
"V1418",-0.000663438492144665
